dep_name,timestamp,cr_timestamp,time_window,container_name,cpu_use,mem_use
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.995s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.275s,cassandra,180149344n,1981372Ki
cassdb01-cassandra-1,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.276s,cassandra,315642986n,1741204Ki
cassdb01-cassandra-2,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.277s,cassandra,357422839n,1765032Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.275s,rabbitmq,65792700n,168168Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.275s,master,65070093n,30184Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.277s,master,67447267n,28756Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.276s,workerchar,111813563n,22160Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.276s,workerdb,104049380n,26412Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,11.817s,workerdb,79370643n,25736Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:56Z,2024-12-10T00:37:57Z,12.276s,workerroll,64744n,20600Ki
cassdb01-cassandra-0,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.275s,cassandra,180149344n,1981372Ki
cassdb01-cassandra-1,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.276s,cassandra,315642986n,1741204Ki
cassdb01-cassandra-2,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.277s,cassandra,357422839n,1765032Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.275s,rabbitmq,65792700n,168168Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.275s,master,65070093n,30184Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.277s,master,67447267n,28756Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.276s,workerchar,111813563n,22160Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.276s,workerdb,104049380n,26412Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,11.817s,workerdb,79370643n,25736Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:56Z,2024-12-10T00:38:03Z,12.276s,workerroll,64744n,20600Ki
cassdb01-cassandra-0,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.275s,cassandra,180149344n,1981372Ki
cassdb01-cassandra-1,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.276s,cassandra,315642986n,1741204Ki
cassdb01-cassandra-2,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.277s,cassandra,357422839n,1765032Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.275s,rabbitmq,65792700n,168168Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.275s,master,65070093n,30184Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.277s,master,67447267n,28756Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.276s,workerchar,111813563n,22160Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.276s,workerdb,104049380n,26412Ki
workerdb-665c87bb99-ksfzw,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,11.817s,workerdb,79370643n,25736Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:56Z,2024-12-10T00:38:08Z,12.276s,workerroll,64744n,20600Ki
cassdb01-cassandra-0,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.997s,cassandra,346944842n,1981412Ki
cassdb01-cassandra-1,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.996s,cassandra,244473913n,1741308Ki
cassdb01-cassandra-2,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.996s,cassandra,305927694n,1764592Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:38:11Z,2024-12-10T00:38:13Z,14.998s,rabbitmq,54644732n,172276Ki
